name,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,approx_cost(for two people),listed_in(type),listed_in(city),veg_nonveg_type,famous_dish,success_rate,cancellation_rate,latitude,longitude,distance_km
Szechuan Dragon,1,0,3.9,184,Hsr,Delivery,"Salad, Fried Rice Chicken","Chinese, Thai, Momos",600.0,Delivery,Koramangala 6th Block,Veg,Salad,0.6150390722696637,0.3849609277303363,12.9716,77.5946,1.1799233423387865
Cream Stone,1,0,4.2,1023,Hsr,Dessert Parlor,"Nutella Brownie, Fruit Ice Cream, Ferrero Rocher Ice Cream, Chocolava, Hot Chocolate Fudge, Mango Ice Cream, Waffles","Desserts, Beverages",500.0,Delivery,Koramangala 6th Block,Veg,Nutella Brownie,0.7501934326089229,0.2498065673910771,12.9716,77.5946,1.1799233423387865
Afghani Tandoori Hub,1,0,3.7,14,Btm,Quick Bites,Arabian,"Arabian, Afghan",400.0,Delivery,Koramangala 6th Block,Veg,Arabian,0.6323523459646139,0.36764765403538613,12.9716,77.5946,1.1799233423387865
The Paratha Stories,1,0,3.3,38,Koramangala 1St Block,Delivery,North Indian,North Indian,400.0,Delivery,Koramangala 6th Block,Veg,North Indian,0.4438303803623945,0.5561696196376055,12.9716,77.5946,1.1799233423387865
Noodle Panda,1,0,4.3,341,Koramangala 5Th Block,Casual Dining,"Noodles, Momos, Ramen Soup, Bubble Tea, Noodle, Onion Rings, Veg Dim Sums","Chinese, Indonesian, Japanese, Malaysian, Thai, Vietnamese, Momos",800.0,Delivery,Koramangala 6th Block,Veg,Noodles,0.5937877325562607,0.4062122674437393,12.9716,77.5946,1.1799233423387865
Sahana's (Nati Style),1,0,3.7,48,Wilson Garden,Quick Bites,North Indian,North Indian,350.0,Delivery,Koramangala 6th Block,Veg,North Indian,0.4647805517961512,0.5352194482038488,12.9716,77.5946,1.1799233423387865
Bhookha Sher,1,0,3.5,29,Old Airport Road,Quick Bites,North Indian,"North Indian, Fast Food",350.0,Delivery,Koramangala 6th Block,Veg,North Indian,0.4709341192923766,0.5290658807076234,12.9716,77.5946,1.1799233423387865
Sardarji Ka Dhaba,1,0,4.0,758,Hosur Road,Quick Bites,"Lassi, Punjabi Chicken, Paratha, Kadhai Murgh, Butter Naan, Lemon Chicken, Roti",North Indian,250.0,Delivery,Koramangala 6th Block,Veg,Lassi,0.5778678228323556,0.4221321771676444,12.9716,77.5946,1.1799233423387865
Hyderabadi Biryani Hub,1,0,3.6,221,Btm,Casual Dining,"Biryani, Raita","Biryani, North Indian, Chinese",600.0,Delivery,Koramangala 6th Block,Both,Biryani,0.5105820760242061,0.48941792397579387,12.9716,77.5946,1.1799233423387865
Thalassery Restaurant,1,0,3.6,383,Koramangala 5Th Block,Casual Dining,"Tea, Fish, Thalassery Biryani, Garlic Naan, Chicken Curry, Ghee Rice, Sea Food","Kerala, Biryani, South Indian, North Indian, Chinese, Seafood, Juices",600.0,Delivery,Koramangala 6th Block,Both,Tea,0.6345546485989336,0.3654453514010664,12.9716,77.5946,1.1799233423387865
Little Lucknow,1,1,4.0,236,Koramangala 5Th Block,Casual Dining,"Shami Kebab, Kadhai Murgh, Butter Chicken, Chicken Biryani, Mughlai Paratha, Paneer Lababdar, Mughlai Chicken","Mughlai, North Indian",800.0,Delivery,Koramangala 6th Block,Veg,Shami Kebab,0.5134384266404477,0.4865615733595523,12.9716,77.5946,1.1799233423387865
Hyderabad Biryaani House,1,0,4.1,1118,Koramangala 5Th Block,Casual Dining,"Hyderabadi Biryani, Mutton Biryani, Tandoori Chicken, Mutton Fry, Chicken Biryani, Lassi, Crispy Babycorn","Biryani, North Indian, Chinese, Hyderabadi",750.0,Delivery,Koramangala 6th Block,Both,Hyderabadi Biryani,0.6051716083390842,0.39482839166091577,12.9716,77.5946,1.1799233423387865
Pathaan Sir,1,0,3.9,184,Btm,Quick Bites,"Rolls, Momos, Paratha, Chicken Tikka Roll, Mutton Keema, Egg Roll","Rolls, Chinese",300.0,Delivery,Koramangala 6th Block,Veg,Rolls,0.4626064795657762,0.5373935204342237,12.9716,77.5946,1.1799233423387865
Hotel Godavari,1,0,3.9,226,Btm,Casual Dining,Andhra,"Andhra, Chinese, North Indian, Biryani",500.0,Delivery,Koramangala 6th Block,Both,Andhra,0.5830725808494818,0.41692741915051823,12.9716,77.5946,1.1799233423387865
Karavali Kolimane,1,0,3.7,28,Wilson Garden,Quick Bites,Mangalorean,"Mangalorean, Chinese, North Indian",350.0,Delivery,Koramangala 6th Block,Veg,Mangalorean,0.47091378239586035,0.5290862176041397,12.9716,77.5946,1.1799233423387865
Pot Biryani,1,0,3.9,462,Domlur,Casual Dining,"Pot Biryani, Boneless Biryani, Raita, Paneer Biryani, Mutton Biryani, Sea Food, Ghee Roast Mutton","North Indian, Chinese, Biryani, Seafood",600.0,Delivery,Koramangala 6th Block,Both,Pot Biryani,0.6258656310084932,0.37413436899150676,12.9716,77.5946,1.1799233423387865
Sri Krishna Sagar,1,0,3.9,43,Koramangala 6Th Block,Quick Bites,South Indian,South Indian,300.0,Delivery,Koramangala 6th Block,Veg,South Indian,0.5487151026876386,0.45128489731236143,12.9716,77.5946,1.1799233423387865
Biryani Palace,1,0,3.9,463,Hsr,Quick Bites,"Tandoori Chicken, Chicken Boneless Biryani, Hyderabadi Biryani, Lemon Chicken, Mutton Biryani, Raita","Biryani, Hyderabadi, Chinese",600.0,Delivery,Koramangala 6th Block,Non-Veg,Tandoori Chicken,0.5006529253691253,0.4993470746308747,12.9716,77.5946,1.1799233423387865
Veruthe Oru Thattukada,1,0,3.7,27,Btm,Quick Bites,Kerala,"Kerala, South Indian",400.0,Delivery,Koramangala 6th Block,Veg,Kerala,0.4328461385578436,0.5671538614421564,12.9716,77.5946,1.1799233423387865
Mealer.in,1,0,4.2,701,Koramangala 4Th Block,Delivery,"Kheer, Sandwich, Roti, Salad, Rajma, Gulab Jamun, Chole","North Indian, Biryani",450.0,Delivery,Koramangala 6th Block,Both,Kheer,0.5635621845048777,0.4364378154951223,12.9716,77.5946,1.1799233423387865
UBQ by Barbeque Nation,1,0,3.4,6,Koramangala 1St Block,Delivery,North Indian,"North Indian, BBQ, Biryani, Kebab",450.0,Delivery,Koramangala 6th Block,Both,North Indian,0.5120759837006399,0.4879240162993601,12.9716,77.5946,1.1799233423387865
The Burger Place,1,0,3.8,28,Koramangala 1St Block,Quick Bites,Burger,"Burger, Continental, Fast Food",400.0,Delivery,Koramangala 6th Block,Veg,Burger,0.5715747317874809,0.42842526821251914,12.9716,77.5946,1.1799233423387865
KF's Biryani's and Kababs,1,0,3.4,17,Koramangala 4Th Block,Quick Bites,Biryani,"Biryani, Kebab",400.0,Delivery,Koramangala 6th Block,Non-Veg,Biryani,0.47538109523791433,0.5246189047620857,12.9716,77.5946,1.1799233423387865
Mani's Dum Biryani,1,0,3.9,375,Koramangala 1St Block,Casual Dining,"Vegetable Biryani, Chicken Biryani, Raita, Chicken Kebab, Hyderabadi Biryani, Fish Biryani, Paneer Biryani",Biryani,750.0,Delivery,Koramangala 6th Block,Non-Veg,Vegetable Biryani,0.6154735498902797,0.3845264501097203,12.9716,77.5946,1.1799233423387865
Crunchy Nights,1,0,3.7,30,Btm,Delivery,North Indian,"North Indian, Chinese, Continental",400.0,Delivery,Koramangala 6th Block,Veg,North Indian,0.481247551172737,0.518752448827263,12.9716,77.5946,1.1799233423387865
Mad Over Donuts,1,0,4.2,703,Koramangala 7Th Block,Dessert Parlor,"Donut, Latte, Coffee, Choco Bomb, Hot Chocolate, Waffles, Cappuccino","Bakery, Desserts, Beverages",450.0,Delivery,Koramangala 6th Block,Veg,Donut,0.4661767131977655,0.5338232868022346,12.9716,77.5946,1.1799233423387865
Grow Fit,1,0,4.0,457,Koramangala 6Th Block,Delivery,"Pizza, Brownie, Chicken Biryani","Healthy Food, North Indian, Thai",500.0,Delivery,Koramangala 6th Block,Veg,Pizza,0.5972728821568968,0.4027271178431032,12.9716,77.5946,1.1799233423387865
Rang De Basanthi,1,0,3.7,434,Koramangala 4Th Block,Quick Bites,"Bhindi Fry, Aloo Fry, Sweet Lassi, Paratha, Tawa Roti, Palak Paneer, Butter Chicken","North Indian, South Indian, Chinese",400.0,Delivery,Koramangala 6th Block,Veg,Bhindi Fry,0.609740056793865,0.390259943206135,12.9716,77.5946,1.1799233423387865
Dosa Plaza,1,0,3.8,141,Koramangala 5Th Block,Quick Bites,Masala Dosa,"South Indian, North Indian, Chinese, Beverages",200.0,Delivery,Koramangala 6th Block,Veg,Masala Dosa,0.6174797540250925,0.3825202459749075,12.9716,77.5946,1.1799233423387865
Lucknowi Dabba,1,0,3.7,21,Koramangala 1St Block,Delivery,Mughlai,"Mughlai, Chinese, North Indian",300.0,Delivery,Koramangala 6th Block,Veg,Mughlai,0.47288382504147664,0.5271161749585234,12.9716,77.5946,1.1799233423387865
The Shawarma Shop,1,0,4.1,382,Btm,Quick Bites,"Rumali Roti, Rumali Shawarma, Burgers, Shawarma Burger",Arabian,250.0,Delivery,Koramangala 6th Block,Veg,Rumali Roti,0.5670738007099676,0.4329261992900324,12.9716,77.5946,1.1799233423387865
New Mangalore Lunch Home,1,0,3.8,36,Koramangala 1St Block,Quick Bites,Mangalorean,"Mangalorean, Chinese, North Indian",300.0,Delivery,Koramangala 6th Block,Veg,Mangalorean,0.586832635768014,0.41316736423198597,12.9716,77.5946,1.1799233423387865
Howlin Wolf,1,0,4.0,94,Hsr,Casual Dining,"Chicken Steak, Burgers, Pizza, Salad, Fries, Garlic Bread, Chicken Nuggets","Italian, Mediterranean, European, Sandwich",700.0,Delivery,Koramangala 6th Block,Veg,Chicken Steak,0.5453200748301984,0.4546799251698016,12.9716,77.5946,1.1799233423387865
New Udupi Grand,1,0,3.7,36,Hsr,Quick Bites,South Indian,"South Indian, North Indian, Chinese, Street Food",250.0,Delivery,Koramangala 6th Block,Veg,South Indian,0.5434108780114133,0.4565891219885867,12.9716,77.5946,1.1799233423387865
Kannoor Restaurant,1,0,3.1,18,Btm,Casual Dining,Kerala,"Kerala, Chinese, South Indian, North Indian",700.0,Delivery,Koramangala 6th Block,Veg,Kerala,0.4269988226999802,0.5730011773000199,12.9716,77.5946,1.1799233423387865
Rajveena Kitchen,1,0,3.7,28,Btm,Quick Bites,North Indian,"North Indian, Fast Food, Biryani, Chinese",500.0,Delivery,Koramangala 6th Block,Both,North Indian,0.48352961155658913,0.5164703884434109,12.9716,77.5946,1.1799233423387865
Stoned Monkey,1,0,4.1,511,Koramangala 6Th Block,Dessert Parlor,"Nachos, Waffles, Hot Chocolate Fudge, Chocolate Icecreams, Tiramisu, Cheesy Garlic Bread, Vanilla Ice Cream","Desserts, Ice Cream",500.0,Delivery,Koramangala 6th Block,Veg,Nachos,0.5517889695209168,0.4482110304790832,12.9716,77.5946,1.1799233423387865
The Pancake Story,1,0,4.6,121,Koramangala 1St Block,Dessert Parlor,"Pancakes, Waffles, Popcorn, Nachos, Tea, Savoury Crepe, Hot Chocolate","Desserts, Beverages",300.0,Delivery,Koramangala 6th Block,Veg,Pancakes,0.6999428661114399,0.30005713388856015,12.9716,77.5946,1.1799233423387865
Bubble Bee,1,0,3.9,48,Hsr,Dessert Parlor,"Bubble Tea, Waffles, Blueberry Cheesecake","Beverages, Bubble Tea, Desserts",400.0,Delivery,Koramangala 6th Block,Veg,Bubble Tea,0.5640446515395285,0.43595534846047146,12.9716,77.5946,1.1799233423387865
Vietnamese Kitchen,1,1,4.1,531,Indiranagar,Casual Dining,"Pho, Pad Thai, Jasmine Tea, Spring Roll, Chocolate Shake, Thai Green Curry, Momos","Chinese, Vietnamese, Momos, Thai",800.0,Delivery,Koramangala 6th Block,Veg,Pho,0.6605581978898597,0.3394418021101403,12.9719,77.6412,3.9894843527558077
Biryani Mandra,1,0,3.8,71,Koramangala 1St Block,"Takeaway, Delivery",Seafood,"Seafood, Salad, North Indian, Biryani, Chinese",500.0,Delivery,Koramangala 6th Block,Both,Seafood,0.5772864815157819,0.4227135184842181,12.9716,77.5946,1.1799233423387865
Mamatha Restaurant,1,0,2.6,74,Bommanahalli,Casual Dining,Biryani,"Biryani, Hyderabadi, North Indian",700.0,Delivery,Koramangala 6th Block,Both,Biryani,0.481642177923857,0.518357822076143,12.9716,77.5946,1.1799233423387865
Hungry Queen,1,0,3.6,46,Hsr,"Takeaway, Delivery",North Indian,"North Indian, Chinese, Fast Food",300.0,Delivery,Koramangala 6th Block,Veg,North Indian,0.566723276568089,0.43327672343191104,12.9716,77.5946,1.1799233423387865
The Charcoal Factory,1,0,4.1,292,Koramangala 6Th Block,Quick Bites,"Burgers, Cheesy Pizza, Chips, Fries, Rice Bowl, White Sauce Pasta, Chicken Wings","Burger, Pizza, Momos",600.0,Delivery,Koramangala 6th Block,Veg,Burgers,0.6306714141359093,0.3693285858640907,12.9716,77.5946,1.1799233423387865
Paisa Vasool,1,0,3.3,395,Koramangala 7Th Block,Quick Bites,"Fish Thali, Aloo Paratha",North Indian,400.0,Delivery,Koramangala 6th Block,Veg,Fish Thali,0.4885157666651741,0.511484233334826,12.9716,77.5946,1.1799233423387865
Shahi Darbar,1,0,3.2,5,Ejipura,Quick Bites,Chinese,"Chinese, North Indian",300.0,Delivery,Koramangala 6th Block,Veg,Chinese,0.6255494447944143,0.3744505552055857,12.9716,77.5946,1.1799233423387865
Daba Delights,1,0,3.3,9,Koramangala 4Th Block,Delivery,North Indian,"North Indian, Mughlai",400.0,Delivery,Koramangala 6th Block,Veg,North Indian,0.49329531973997387,0.5067046802600261,12.9716,77.5946,1.1799233423387865
Hari Super Sandwich,1,0,4.0,18,Btm,Quick Bites,Sandwich,"Sandwich, Fast Food",100.0,Delivery,Koramangala 6th Block,Veg,Sandwich,0.4766496490342002,0.5233503509657997,12.9716,77.5946,1.1799233423387865
Brownie Heaven,1,0,4.3,131,Indiranagar,Dessert Parlor,"Mocha Fudge, Red Velvet Brownie, Salted Caramel, Brownie Chocolate",Desserts,300.0,Delivery,Koramangala 6th Block,Veg,Mocha Fudge,0.6282365153837401,0.37176348461625985,12.9719,77.6412,3.9894843527558077
Nammura Donne Biriyani,1,0,3.6,68,Btm,Quick Bites,Andhra,"Andhra, Biryani",300.0,Delivery,Koramangala 6th Block,Non-Veg,Andhra,0.47709736502444033,0.5229026349755597,12.9716,77.5946,1.1799233423387865
HSR Agarval Bhavan,1,0,3.2,68,Hsr,Casual Dining,"Chole Bhature, Tea, Kachori","South Indian, Street Food, Fast Food, Desserts, Beverages",400.0,Delivery,Koramangala 6th Block,Veg,Chole Bhature,0.5270630532663926,0.4729369467336074,12.9716,77.5946,1.1799233423387865
Odissi Restaurant,1,0,2.9,67,Btm,Casual Dining,"Egg Tadka, Roti, Veg Thali",Oriya,200.0,Delivery,Koramangala 6th Block,Veg,Egg Tadka,0.47498499190144233,0.5250150080985576,12.9716,77.5946,1.1799233423387865
Cafemoto,1,0,4.0,201,Koramangala 5Th Block,Cafe,"Burgers, Chicken Burger, Beef Burger, Mojito, Tea, French Fries, White Sauce Pasta","Cafe, Continental, Italian, Burger",800.0,Delivery,Koramangala 6th Block,Veg,Burgers,0.5690067794805538,0.4309932205194462,12.9716,77.5946,1.1799233423387865
Kanti Sweets,1,0,4.1,113,Btm,Sweet Shop,Mithai,"Mithai, Street Food",400.0,Delivery,Koramangala 6th Block,Veg,Mithai,0.5451193702403895,0.4548806297596105,12.9716,77.5946,1.1799233423387865
Dabba Gosht,1,0,3.4,15,Hsr,"Takeaway, Delivery",Arabian,"Arabian, Middle Eastern",400.0,Delivery,Koramangala 6th Block,Veg,Arabian,0.5075886342447855,0.4924113657552145,12.9716,77.5946,1.1799233423387865
Asia Kitchen By Mainland China,1,1,4.9,2244,Koramangala 5Th Block,"Casual Dining, Bar","Noodles, Chicken Dim Sum, Pad Thai Noodle, Jumbo Prawns, Cocktails, Prawn Sushi, Treasure Soup","Asian, Chinese, Thai, Momos",1500.0,Delivery,Koramangala 6th Block,Veg,Noodles,0.6954335567554362,0.30456644324456383,12.9716,77.5946,1.1799233423387865
Mustard Cafe,1,0,4.1,894,Koramangala 3Rd Block,Cafe,"Mushroom Bruschettas, Mocktails, Blueberry Smoothie, Opera Cake, Beef Burger, Pasta Arrabiata, Burgers","Cafe, Continental, Burger, Salad, Healthy Food, Italian",800.0,Delivery,Koramangala 6th Block,Veg,Mushroom Bruschettas,0.6428241350004086,0.3571758649995914,12.9716,77.5946,1.1799233423387865
Hum Biryani,1,0,3.4,17,Btm,Delivery,Biryani,"Biryani, North Indian",600.0,Delivery,Koramangala 6th Block,Both,Biryani,0.5281037800094803,0.47189621999051967,12.9716,77.5946,1.1799233423387865
ONE IN A MELON,1,0,4.1,414,Koramangala 7Th Block,"Beverage Shop, Quick Bites","Sandwiches, Fruit Juices, Chaat, Paneer Sandwich, Watermelon Juice, Cheese Sandwich","Juices, Healthy Food",300.0,Delivery,Koramangala 6th Block,Veg,Sandwiches,0.7416771319060406,0.25832286809395943,12.9716,77.5946,1.1799233423387865
Desi Chopstick,1,0,3.8,37,Hsr,Quick Bites,North Indian,North Indian,400.0,Delivery,Koramangala 6th Block,Veg,North Indian,0.5284037312423586,0.4715962687576414,12.9716,77.5946,1.1799233423387865
Vijayalakshmi Veg,1,0,3.9,100,Jayanagar,Quick Bites,"Vada, Rava Idli, Masala Dosa, Coffee",South Indian,200.0,Delivery,Koramangala 6th Block,Veg,Vada,0.5491110379674028,0.4508889620325972,12.925,77.5938,5.768672173515686
Eagles Pizza,1,0,3.8,19,Koramangala 7Th Block,Casual Dining,Pizza,"Pizza, Italian",400.0,Delivery,Koramangala 6th Block,Veg,Pizza,0.542599856987572,0.45740014301242804,12.9716,77.5946,1.1799233423387865
DinePost9,1,0,3.9,230,Koramangala 1St Block,Delivery,"Tandoori Chicken, Panneer Butter Masala, Butter Naan, Kheer","North Indian, South Indian, Chinese, Continental",450.0,Delivery,Koramangala 6th Block,Veg,Tandoori Chicken,0.5610500578872064,0.4389499421127936,12.9716,77.5946,1.1799233423387865
The Rasaganga,1,0,3.9,160,Hsr,Quick Bites,"Coffee, Dahi Vada, Chaat","South Indian, North Indian, Chinese, Street Food",300.0,Delivery,Koramangala 6th Block,Veg,Coffee,0.6167056579246899,0.3832943420753101,12.9716,77.5946,1.1799233423387865
Fritz Haber,1,0,4.0,403,Hsr,Dessert Parlor,"Ice Cream Roll, Nitrogen Ice Cream, Roasted Almonds, Salted Caramel","Ice Cream, Desserts",450.0,Delivery,Koramangala 6th Block,Veg,Ice Cream Roll,0.5683654648951824,0.43163453510481764,12.9716,77.5946,1.1799233423387865
PurpleBasil.in,1,0,4.4,457,Indiranagar,Delivery,"Pasta, Chicken Meal, Pongal, Pesarattu, Chicken Satay, Noodles, Salad","Healthy Food, Desserts",500.0,Delivery,Koramangala 6th Block,Veg,Pasta,0.7317642854269466,0.2682357145730534,12.9719,77.6412,3.9894843527558077
Kokomo,1,0,4.0,195,Koramangala 6Th Block,Delivery,"Thai Chicken, Momos","Thai, Chinese",500.0,Delivery,Koramangala 6th Block,Veg,Thai Chicken,0.6075892782999732,0.3924107217000268,12.9716,77.5946,1.1799233423387865
Rolla Rappa,1,0,3.6,176,Hsr,Delivery,"Rolls, Tandoori Momos, Soya Chaap, Peri Peri Chicken Roll, Chicken Biryani, Fries, Paneer Roll","Biryani, Fast Food, Rolls, Momos",400.0,Delivery,Koramangala 6th Block,Both,Rolls,0.5038500797298764,0.4961499202701236,12.9716,77.5946,1.1799233423387865
What'sinaPita,1,0,3.9,231,Koramangala 1St Block,Delivery,"Falafel Wrap, Salads, Brownie Fudge, Fattoush Salad, Chicken Wings, Pita Bread, Paneer Wrap","Mediterranean, Middle Eastern, Wraps, Rolls",400.0,Delivery,Koramangala 6th Block,Veg,Falafel Wrap,0.5295548735456432,0.47044512645435677,12.9716,77.5946,1.1799233423387865
Hotel Junior Kuppanna,1,0,3.1,269,Hsr,Casual Dining,"Chicken Curry, Mutton Biryani, Paratha, Kothu Parotta, Mutton Fry, Pallipalayam Chicken, Chicken Biryani","Chettinad, South Indian",550.0,Delivery,Koramangala 6th Block,Veg,Chicken Curry,0.519338048833921,0.480661951166079,12.9716,77.5946,1.1799233423387865
Arya Hungry?,1,0,4.3,279,Koramangala 7Th Block,Quick Bites,"Chole, Kulcha, Mutton Curry, Paratha, Mint Raita, Chicken Curry, Dal Makhani",North Indian,450.0,Delivery,Koramangala 6th Block,Veg,Chole,0.6188986786970021,0.3811013213029979,12.9716,77.5946,1.1799233423387865
Hanoi - Vietnamese Cuisine,1,1,4.4,1808,Koramangala 4Th Block,Casual Dining,"Pho, Hot Pot, Sangria, Fig Ice Cream, Crepe, Fish, Pumpkin Soup",Vietnamese,1000.0,Delivery,Koramangala 6th Block,Veg,Pho,0.6576773372885982,0.34232266271140177,12.9716,77.5946,1.1799233423387865
Lassi Shop,1,0,3.9,40,Btm,Beverage Shop,Beverages,"Beverages, Ice Cream",200.0,Delivery,Koramangala 6th Block,Veg,Beverages,0.5332889164354481,0.46671108356455193,12.9716,77.5946,1.1799233423387865
WTF,1,0,4.1,93,Koramangala 5Th Block,Cafe,"Cheesy Pizza, Cheese Pasta, Brownie Milkshake, Peri Peri Chicken, Nachos, Omelette, Peanut Butter Milkshake","Cafe, Continental",600.0,Delivery,Koramangala 6th Block,Veg,Cheesy Pizza,0.5860852729881951,0.4139147270118049,12.9716,77.5946,1.1799233423387865
The Food Dude,1,0,3.9,179,Koramangala 6Th Block,Delivery,"Burgers, Pizza, Pasta, Momos, Wings, Chilli Paneer","Fast Food, Burger, Sandwich, Pizza",300.0,Delivery,Koramangala 6th Block,Veg,Burgers,0.533742609170888,0.466257390829112,12.9716,77.5946,1.1799233423387865
Sarvam,1,0,3.5,124,Hsr,Casual Dining,"Roti, Paratha, Appam, Chicken Biryani, Kothu Parotta, Elaneer Payasam, Fish Fry","South Indian, Chettinad, Chinese, North Indian, Andhra, Seafood",550.0,Delivery,Koramangala 6th Block,Both,Roti,0.5827956488569273,0.41720435114307275,12.9716,77.5946,1.1799233423387865
PreRit's Food Factory,1,0,3.7,72,Indiranagar,Delivery,"Biryani, Kerala Parotta, Chilli Chicken, Paratha","North Indian, Chinese",300.0,Delivery,Koramangala 6th Block,Veg,Biryani,0.5746362775747471,0.4253637224252529,12.9719,77.6412,3.9894843527558077
Bhojohori Manna,1,0,4.1,1962,Koramangala 6Th Block,Casual Dining,"Fish, Sea Food, Chingri Malai Curry, Mutton Kasha, Jumbo Ilish, Chingri Malaikari, Jumbo Prawns","Bengali, Mughlai",650.0,Delivery,Koramangala 6th Block,Veg,Fish,0.6137306644988396,0.3862693355011604,12.9716,77.5946,1.1799233423387865
Zee5 Loft,1,0,4.4,363,Koramangala 6Th Block,Cafe,"Tomato Soup, Brownie Shake, Pizza, Salad, Fries, Chicken Bbq Wings, Pasta","Cafe, North Indian, Pizza, Sandwich, Salad",500.0,Delivery,Koramangala 6th Block,Veg,Tomato Soup,0.6219964152389985,0.3780035847610015,12.9716,77.5946,1.1799233423387865
Nite Out,1,0,4.0,1113,Koramangala 4Th Block,Delivery,"Chicken Boneless Biryani, Brownie, Rolls, Chicken Masala, Chocolate Milkshake, Chicken Curry, Noodles","North Indian, Chinese, Biryani",500.0,Delivery,Koramangala 6th Block,Both,Chicken Boneless Biryani,0.5994459232408582,0.4005540767591418,12.9716,77.5946,1.1799233423387865
Once Upon A Flame,1,0,4.5,2072,Hsr,Casual Dining,"Burgers, Pasta, Mocktails, Mashed Potato, Salads, Chicken Steak, Beef Steak","Steak, Continental, Burger, BBQ",1200.0,Delivery,Koramangala 6th Block,Veg,Burgers,0.6741526458510703,0.32584735414892974,12.9716,77.5946,1.1799233423387865
Vegan Heat,1,0,4.1,314,Koramangala 1St Block,"Takeaway, Delivery","Burgers, Pancakes, Waffles, Salad","Healthy Food, Salad",650.0,Delivery,Koramangala 6th Block,Veg,Burgers,0.5452496739242755,0.4547503260757245,12.9716,77.5946,1.1799233423387865
David's Kitchen,1,0,3.6,14,Btm,Quick Bites,North Indian,"North Indian, South Indian, Chinese",200.0,Delivery,Koramangala 6th Block,Veg,North Indian,0.4302108182955799,0.5697891817044201,12.9716,77.5946,1.1799233423387865
Rollin,1,0,4.0,212,Koramangala 4Th Block,Quick Bites,"Pizza, Dragon Chicken, Butter Chicken, Noodles, Chicken Wings, Chicken Noodle","Continental, Pizza, Chinese",400.0,Delivery,Koramangala 6th Block,Veg,Pizza,0.5388934837882148,0.4611065162117852,12.9716,77.5946,1.1799233423387865
Momo Rice Noodles,1,0,3.2,86,Domlur,Quick Bites,Chinese,"Chinese, Momos",600.0,Delivery,Koramangala 6th Block,Veg,Chinese,0.47010692014355454,0.5298930798564454,12.9716,77.5946,1.1799233423387865
Chaatimes,1,0,3.4,47,Btm,Quick Bites,"Chaat, Dabeli, Panipuri","Street Food, Fast Food",200.0,Delivery,Koramangala 6th Block,Veg,Chaat,0.46394603022819386,0.5360539697718061,12.9716,77.5946,1.1799233423387865
Karama Restaurant,1,0,3.3,13,Hsr,"Takeaway, Delivery",Arabian,Arabian,400.0,Delivery,Koramangala 6th Block,Veg,Arabian,0.528698603040691,0.47130139695930895,12.9716,77.5946,1.1799233423387865
Royal Calcutta Restaurant,1,0,4.0,270,Koramangala 1St Block,Quick Bites,"Plain Paratha, Prawn, Chicken Biryani, Chicken Dak Bunglow, Chicken Masala, Roti, Aloo Posto","North Indian, Chinese, Bengali",450.0,Delivery,Koramangala 6th Block,Veg,Plain Paratha,0.5683546055623767,0.4316453944376233,12.9716,77.5946,1.1799233423387865
Indiana Burgers,1,0,3.5,47,Domlur,Delivery,"Burgers, Chicken Whopper Burger",Burger,300.0,Delivery,Koramangala 6th Block,Veg,Burgers,0.6070163688654995,0.3929836311345005,12.9716,77.5946,1.1799233423387865
Dwaraka Krishna,1,0,3.7,329,Btm,"Takeaway, Delivery","Biryani, Shahi Paneer","North Indian, Biryani, Chinese",500.0,Delivery,Koramangala 6th Block,Both,Biryani,0.5152891178870217,0.4847108821129783,12.9716,77.5946,1.1799233423387865
Ambur Star Briyani,1,0,3.7,118,Btm,Quick Bites,"Mutton Biryani, Ambur Biryani, Chicken Biryani","Biryani, Kebab",400.0,Delivery,Koramangala 6th Block,Non-Veg,Mutton Biryani,0.5466389768172071,0.4533610231827929,12.9716,77.5946,1.1799233423387865
Cafe Alchemist,1,0,3.8,62,Btm,Quick Bites,Fast Food,"Fast Food, Juices",300.0,Delivery,Koramangala 6th Block,Veg,Fast Food,0.5366619502143245,0.4633380497856755,12.9716,77.5946,1.1799233423387865
7 Star Biryani,1,0,3.2,15,Koramangala 6Th Block,Quick Bites,Biryani,Biryani,250.0,Delivery,Koramangala 6th Block,Non-Veg,Biryani,0.4972562507954864,0.5027437492045136,12.9716,77.5946,1.1799233423387865
Mitran Da Junction,1,0,4.1,322,Koramangala 6Th Block,Quick Bites,"Butter Chicken, Dal Makhani, Roti, Tangdi Kabab, Panneer Butter Masala",North Indian,600.0,Delivery,Koramangala 6th Block,Veg,Butter Chicken,0.6465266248909168,0.35347337510908317,12.9716,77.5946,1.1799233423387865
Basmati's Briyani Nation,1,0,3.700448817952718,0,Hsr,"Takeaway, Delivery",Biryani,"Biryani, Fast Food",350.0,Delivery,Koramangala 6th Block,Both,Biryani,0.5679701501904446,0.4320298498095554,12.9716,77.5946,1.1799233423387865
Tibetan Mother's Kitchen,1,0,4.0,960,Koramangala 7Th Block,Casual Dining,"Momos, Noodles, Thukpa, Honey Chilli Potatoes, Chicken Thupka, Pork Chilli, Crispy Honey Chicken","Tibetan, Chinese, Momos",500.0,Delivery,Koramangala 6th Block,Veg,Momos,0.4905704526863928,0.5094295473136072,12.9716,77.5946,1.1799233423387865
